x,y
0,12
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,13
10,13
11,13
12,14
13,14
14,15
15,15
16,17
17,17
18,17
19,19
20,19
21,20
22,21
23,21
24,22
25,24
26,24
27,24
28,25
29,26
30,27
31,28
32,28
33,30
34,30
35,32
36,32
37,32
38,33
39,34
40,35
41,36
42,36
43,37
44,39
45,39
46,39
47,40
48,40
49,41
50,42
51,43
52,43
53,44
54,45
55,45
56,45
57,46
58,47
59,48
60,49
61,49
62,50
63,51
64,51
65,51
66,51
67,53
68,53
69,55
70,55
71,55
72,55
73,56
74,57
75,58
76,58
77,59
78,60
79,60
80,61
81,61
82,63
83,64
84,65
85,65
86,66
87,66
88,68
89,68
90,68
91,68
92,69
93,69
94,69
95,69
96,70
97,70
98,70
99,70
100,70
101,70
102,70
103,71
104,71
105,71
106,71
107,72
108,72
109,72
110,72
111,72
112,73
113,73
114,73
115,74
116,74
117,74
118,74
119,74
120,74
121,74
122,74
