距离,功率
13.56,0
13.51,0.011
13.46,0.033
13.41,0.083
13.36,0.196
13.31,0.342
13.26,0.509
13.21,0.803
13.16,1.417
13.11,2.733
13.06,4.095
13.06,4.095
13.01,3.49
12.96,3.692
12.91,2.251
12.86,1.709
12.81,1.601
12.76,1.527
12.71,1.478
12.66,1.382
12.61,1.154
12.56,0.811
12.51,0.653
12.46,0.576
12.41,0.483
12.36,0.447
12.31,0.313
12.26,0.544
12.21,0.444
12.16,0.437
12.11,0.374
12.06,0.305
12.01,0.272
11.96,0.249
11.91,0.218
11.86,0.253
11.81,0.235
11.76,0.237
11.71,0.207
11.66,0.191
11.61,0.18
11.56,0.157
11.51,0.137
11.46,0.133
11.41,0.12
11.36,0.118
11.31,0.095
11.26,0.12
11.21,0.118
11.16,0.11
11.11,0.105
11.06,0.085
11.01,0.073
10.96,0.082
10.91,0.074
10.86,0.09
10.81,0.07
10.76,0.065
10.71,0.056
10.66,0.049
10.61,0.052
10.56,0.042
10.51,0.055
